Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Alan Smolinisky,Los Angeles Dodgers,MLB,AMERICANS FOR TOMORROW'S FUTURE,10000,2020,,0
Alan Smolinisky,Los Angeles Dodgers,MLB,STAND WITH SANCHEZ,2800,2020,Democrat,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,10600,2020,Republican,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2016,Bipartisan,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2018,Bipartisan,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,5600,2020,Republican,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,5600,2020,Republican,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC,5400,2018,Republican,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TRUMP VICTORY,5400,2018,Republican,0
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2020,Bipartisan,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BOEHNER FOR SPEAKER,18675,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN VICTORY COMMITTEE,15000,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,10000,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN-OHIO VICTORY COMMITTEE,5000,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,THE COMMITTEE TO ELECT DELEGATES,5000,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,5000,2018,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL SENATE COMMITTEE ,5000,2018,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,5000,2018,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,PROMOTING OUR REPUBLICAN TEAM PAC,5000,2018,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,JEB 2016. INC.,2700,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,"RON JOHNSON FOR SENATE, INC.",2700,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,LINDSEY GRAHAM 2016,2500,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,WENSTRUP FOR CONGRESS,2000,2016,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BILL NELSON FOR US SENATE,1000,2018,Democrat,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,ALASKANS FOR DAN SULLIVAN,1000,2020,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,BRAD WENSTRUP VICTORY FUND,1000,2020,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,1000,2020,Republican,0
Bill Dewitt Jr.,St. Louis Cardinals,MLB,STEVE DAINES FOR MONTANA,500,2020,Republican,0
Billie Jean King,Los Angeles Dodgers,MLB,AMY FOR AMERICA,2800,2020,Democrat,1
Billie Jean King,Los Angeles Dodgers,MLB,"AMY MCGRATH FOR SENATE, INC.",2800,2020,Democrat,1
Billie Jean King,Los Angeles Dodgers,MLB,BIDEN FOR PRESIDENT,2800,2020,Democrat,1
Billie Jean King,Los Angeles Dodgers,MLB,DSCC,1400,2020,Democrat,1
Billie Jean King,Los Angeles Dodgers,MLB,JAIME HARRISON FOR US SENATE,1400,2020,Democrat,1
