Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,1
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,1
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,1
Amy Adams Strunk,Tennessee Titans,NFL,PORTMAN FOR SENATE COMMITTEE,2700,2016,Republican,1
Amy Adams Strunk,Tennessee Titans,NFL,REPUBLICAN NATIONAL COMMITTEE,400,2016,Republican,1
Arthur Blank,Atlanta Falcons,NFL,BIDEN VICTORY FUND,35500,2020,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,HILLARY VICTORY FUND,25000,2016,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,BULLOCK VICTORY FUND,15600,2020,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Arthur Blank,Atlanta Falcons,NFL,GEORGIA FEDERAL ELECTIONS COMMITTEE,10000,2018,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,10000,2020,Bipartisan,0
Arthur Blank,Atlanta Falcons,NFL,GEORGIANS FOR ISAKSON,5400,2016,Republican,0
Arthur Blank,Atlanta Falcons,NFL,HILLARY FOR AMERICA,5400,2016,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,MONTANANS FOR TESTER,5400,2018,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,TESTER VICTORY FUND,5400,2018,Democrat,0
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,5000,2018,Bipartisan,0
Arthur Blank,Atlanta Falcons,NFL,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,5000,2020,"Bipartisan, but mostly Republican",0
Arthur Blank,Atlanta Falcons,NFL,HOMRICH CONGRESS,2800,2020,Republican,0
Arthur Blank,Atlanta Falcons,NFL,EVAN BAYH COMMITTEE,1000,2016,Democrat,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,14000,2018,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,12000,2016,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BIDEN FOR PRESIDENT,5000,2020,Democrat,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,5000,2020,Bipartisan,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BOB CASEY FOR SENATE INC,2700,2018,Democrat,0
Arthur J. Rooney II,Pittsburgh Steelers,NFL,REDWINGMCPAC,2400,2018,Republican,0
