Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Adam Silver,Commissioner,NBA,WRIGHT 2016,4000,2016,Democrat,0
Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,2800,2020,Democrat,0
Adam Silver,Commissioner,NBA,CORY 2020,2700,2020,Democrat,0
Adam Silver,Commissioner,NBA,KAMALA HARRIS FOR THE PEOPLE,2700,2020,Democrat,0
Adam Silver,Commissioner,NBA,WIN THE ERA PAC,2700,2020,Democrat,0
Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,2000,2018,Democrat,0
Adam Silver,Commissioner,NBA,BETO FOR TEXAS,1000,2018,Democrat,0
Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,1000,2018,Democrat,0
Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,1000,2018,Democrat,0
Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,1000,2020,Democrat,0
Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,1000,2020,Democrat,0
Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,500,2018,Democrat,0
Clayton Bennett,Oklahoma City Thunder,NBA,RIGHT TO RISE USA,12500,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,FRIENDS OF JIM INHOFE,5600,2020,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,COLE FOR CONGRESS,5400,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,FAMILIES FOR JAMES LANKFORD,5400,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,COLE FOR CONGRESS,5400,2018,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,COLE FOR CONGRESS,2800,2020,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,"JEB 2016, INC.",2700,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,TOM ATKINSON FOR CONGRESS,2700,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,2600,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,LUCAS FOR CONGRESS,1000,2016,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,CORY GARDNER FOR SENATE,1000,2020,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,CRUMPACKER FOR CONGRESS,1000,2020,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,ROGER FOR CONGRESS VICTORY FUND,1000,2020,Republican,0
Clayton Bennett,Oklahoma City Thunder,NBA,WINRED,1000,2020,Republican,0
Dan DeVos,Orlando Magic,NBA,CONGRESSIONAL LEADERSHIP FUND,200000,2018,Republican,0
