Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Alex Meruelo,Arizona Coyotes,NHL,ALL FOR OUR COUNTRY LEADERSHIP PAC ,5000,2020,Democrat,0
Alex Meruelo,Arizona Coyotes,NHL,NEVADANS FOR STEVEN HORSFORD,2800,2020,Democrat,0
Alex Meruelo,Arizona Coyotes,NHL,ESMERALDA SORIA FOR CONGRESS,500,2020,Democrat,0
Bill Foley,Vegas Golden Knights,NHL,1820 PAC,250000,2020,Republican,0
Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,250000,2020,Republican,0
Bill Foley,Vegas Golden Knights,NHL,NEW REPUBLICAN PAC,206100,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,DEFENDARIZONA,100000,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,SENATE LEADERSHIP FUND,82300,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,RICK SCOTT VICTORY FUND,36600,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,MCSALLY ARIZONA VICTORY FUND,20400,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,HELLER VICTORY COMMITTEE,17700,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,ROSENDALE VICTORY FUND,15300,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican,0
Bill Foley,Vegas Golden Knights,NHL,JOSH HAWLEY FOR SENATE,5400,2018,Republican,0
Charlie Jacobs,Boston Bruins,NHL,"DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE",10000,2016,Bipartisan,0
Charlie Jacobs,Boston Bruins,NHL,"DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE",10000,2018,Bipartisan,0
Charlie Jacobs,Boston Bruins,NHL,JACOBS FOR CONGRESS,5600,2020,Republican,0
Charlie Jacobs,Boston Bruins,NHL,HILLARY VICTORY FUND,5000,2016,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,COMMITTEE TO ELECT DAN KOH,5000,2018,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,KENNEDY FOR MASSACHUSETTS,2800,2020,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,HILLARY FOR AMERICA,2700,2016,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,COLLINS VICTORY FUND,2300,2018,Republican,0
Charlie Jacobs,Boston Bruins,NHL,GILLIBRAND FOR SENATE,2100,2018,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,FRIENDS OF JOHN BOEHNER,2000,2016,Republican,0
Charlie Jacobs,Boston Bruins,NHL,MOULTON FOR CONGRESS,1000,2016,Democrat,0
Charlie Jacobs,Boston Bruins,NHL,TOM REED FOR CONGRESS,500,2016,Republican,0
Charlie Jacobs,Boston Bruins,NHL,JAKE AUCHINCLOSS FOR CONGRESS,500,2020,Democrat,0
Chris Ilitch,Detroit Red Wings,NHL,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLIITCAL ACTION COMMITTEE,5000,2018,Bipartisan,0
