,Owner,Team,League,Recipient,Amount,Election Year,Party
0,Adam Silver,Commissioner,NBA,WRIGHT 2016,4000,2016,Democrat
1,Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,2800,2020,Democrat
2,Adam Silver,Commissioner,NBA,CORY 2020,2700,2020,Democrat
3,Adam Silver,Commissioner,NBA,KAMALA HARRIS FOR THE PEOPLE,2700,2020,Democrat
4,Adam Silver,Commissioner,NBA,WIN THE ERA PAC,2700,2020,Democrat
5,Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,2000,2018,Democrat
6,Adam Silver,Commissioner,NBA,BETO FOR TEXAS,1000,2018,Democrat
7,Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,1000,2018,Democrat
8,Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,1000,2018,Democrat
9,Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,1000,2020,Democrat
10,Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,1000,2020,Democrat
11,Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,500,2018,Democrat
12,Alan Smolinisky,Los Angeles Dodgers,MLB,AMERICANS FOR TOMORROW'S FUTURE,10000,2020,
13,Alan Smolinisky,Los Angeles Dodgers,MLB,STAND WITH SANCHEZ,2800,2020,Democrat
14,Alex Meruelo,Arizona Coyotes,NHL,ALL FOR OUR COUNTRY LEADERSHIP PAC ,5000,2020,Democrat
15,Alex Meruelo,Arizona Coyotes,NHL,NEVADANS FOR STEVEN HORSFORD,2800,2020,Democrat
16,Alex Meruelo,Arizona Coyotes,NHL,ESMERALDA SORIA FOR CONGRESS,500,2020,Democrat
17,Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
18,Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,10000,2018,Bipartisan
19,Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
20,Amy Adams Strunk,Tennessee Titans,NFL,PORTMAN FOR SENATE COMMITTEE,2700,2016,Republican
21,Amy Adams Strunk,Tennessee Titans,NFL,REPUBLICAN NATIONAL COMMITTEE,400,2016,Republican
